FID,LATITUDE,LONGITUDE,POCO,POCO_OPERA,BACIA,CAMPO,BLOCO,UF,TIPO,OPERADORA,RESULTADO,Acidente_mecanico,INICIO,TERMINO,CONCLUSAO,Concl_ano,platafor,ano_fabric,ID,Plataforma_nome,Lata_Velha
274,-22.52945278,-40.04277111,7-MLS-167HPA-RJS,7MLS167HPARJS,Campos,MARLIM SUL,MLS,RJ,desenvolvimento,PETROBRAS,produtor comercial de oleo,,3/7/2010,3/9/2010,4/7/2010,2010,,0,0,,
275,-22.59695639,-40.43575389,7-CG-8HP-RJS,7CG8HPRJS,Campos,CONGRO,CG,RJ,desenvolvimento,PETROBRAS,produtor comercial de oleo,,1/23/2008,3/9/2008,5/16/2008,2008,,0,0,,
276,-22.86479556,-40.34061222,7-ESP-48D-RJS,7ESP48DRJS,Campos,ESPADARTE,ESP,RJ,desenvolvimento,PETROBRAS,produtor comercial de oleo,,11/17/2010,12/8/2010,2/7/2011,2011,,0,0,,
277,-22.59630139,-40.08820694,6-BRSA-517-RJS,6MLS122RJS,Campos,MARLIM SUL,MLS,RJ,exploratorio,PETROBRAS,produtor comercial de oleo,,8/12/2007,10/8/2007,11/23/2007,2007,,0,0,,
278,-22.40922639,-39.95019722,9-MLL-45D-RJS,9MLL45DRJS,Campos,MARLIM LESTE,MLL,RJ,desenvolvimento,PETROBRAS,produtor comercial de oleo,,1/23/2010,2/8/2010,2/15/2010,2010,,0,0,,
279,-21.95850389,-39.77922611,7-RO-86HP-RJS,7RO86HPRJS,Campos,RONCADOR,RO,RJ,desenvolvimento,PETROBRAS,produtor comercial de oleo,,10/29/2008,12/7/2008,1/22/2009,2009,,0,0,,
280,-22.60508639,-40.16385833,7-BR-80HP-RJS,7BR80HPRJS,Campos,BARRACUDA,,RJ,desenvolvimento,PETROBRAS,produtor comercial de oleo,,6/14/2011,7/7/2011,7/7/2011,2011,,0,0,,
281,-22.66532639,-40.60347889,7-PU-17HP-RJS,7PU17HPRJS,Campos,PIRAUNA,PU,RJ,desenvolvimento,PETROBRAS,produtor comercial de oleo,,1/2/2009,2/7/2009,3/9/2009,2009,,0,0,,
282,-21.88361139,-39.75405528,7-RO-115-RJS,7RO115RJS,Campos,RONCADOR,,RJ,desenvolvimento,PETROBRAS,produtor comercial de oleo,,9/26/2011,11/6/2011,10/27/2011,2011,,0,0,,
283,-22.48406194,-39.92354833,7-MLL-50H-RJS,7MLL50HRJS,Campos,MARLIM LESTE,MLL,RJ,desenvolvimento,PETROBRAS,produtor comercial de oleo,,2/15/2009,6/6/2009,6/6/2009,2009,,0,0,,
284,-22.94186944,-40.67616583,3-BRSA-1012DPA-RJS,3RJS701DP,Campos,,C-M-401,RJ,exploratorio,PETROBRAS,produtor comercial de oleo,,1/13/2012,3/6/2012,5/6/2012,2012,,0,0,,
285,-22.43292167,-40.09347389,7-MRL-198HP-RJS,7MRL198HPRJS,Campos,MARLIM,MRL,RJ,desenvolvimento,PETROBRAS,produtor comercial de oleo,,3/5/2009,3/6/2009,4/8/2009,2009,,0,0,,
286,-22.42273278,-39.93172639,7-MLL-28HP-RJS,7MLL28HPRJS,Campos,MARLIM LESTE,MLL,RJ,desenvolvimento,PETROBRAS,produtor comercial de oleo,,2/13/2007,3/6/2007,4/9/2007,2007,,0,0,,
287,-21.9677625,-39.80686111,7-RO-72HPB-RJS,7RO72HPBRJS,Campos,RONCADOR,RO,RJ,desenvolvimento,PETROBRAS,produtor comercial de oleo,,1/4/2009,1/6/2009,2/15/2009,2009,,0,0,,
288,-22.47845111,-39.96320139,7-MLL-56HP-RJS,7MLL56HPRJS,Campos,MARLIM LESTE,MLL,RJ,desenvolvimento,PETROBRAS,produtor comercial de oleo,,7/22/2009,9/5/2009,3/1/2010,2010,,0,0,,
289,-25.77254167,-43.21803417,9-BRSA-928-SPS,9SPS77A,Santos,SAPINHOA,BM-S-9,SP,desenvolvimento,PETROBRAS,produtor comercial de oleo,,3/10/2011,8/5/2011,11/11/2011,2011,,0,0,,
290,-22.63756556,-40.07636472,7-MLS-117HP-RJS,7MLS117HPRJS,Campos,MARLIM SUL,MLS,RJ,desenvolvimento,PETROBRAS,produtor comercial de oleo,,5/19/2009,6/5/2009,7/12/2009,2009,,0,0,,
291,-21.2043125,-39.96117972,7-CHT-9H-ESS,7CHT9HESS,Campos,CACHALOTE,BC-60,Espirito Santo,desenvolvimento,PETROBRAS,produtor comercial de oleo,,2/11/2010,4/5/2010,8/20/2010,2010,,0,0,,
292,-22.47105278,-40.00968278,7-MRL-203H-RJS,7MRL203HRJS,Campos,MARLIM,MRL,RJ,desenvolvimento,PETROBRAS,produtor comercial de oleo,,1/25/2010,3/5/2010,3/31/2010,2010,,0,0,,
293,-21.33444222,-40.01752139,7-BAZ-3-ESS,7BAZ3ESS,Campos,BALEIA AZUL,BC-60,Espirito Santo,desenvolvimento,PETROBRAS,produtor comercial de oleo,,2/12/2011,1/5/2012,1/17/2012,2012,,0,0,,
294,-22.44190639,-39.95047167,9-MLL-19D-RJS,9MLL19DRJS,Campos,MARLIM LESTE,MLL,RJ,desenvolvimento,PETROBRAS,produtor comercial de oleo,,12/17/2004,1/5/2005,3/28/2008,2008,,0,0,,
295,-20.05388194,-39.48713944,7-GLF-16H-ESS,7GLF16HESS,Espirito Santo,GOLFINHO,BES-100,Espirito Santo,desenvolvimento,PETROBRAS,produtor comercial de oleo,,5/11/2006,12/4/2006,1/18/2007,2007,,0,0,,
296,-22.68239417,-40.23829806,7-CRT-42HP-RJS,7CRT42HPRJS,Campos,CARATINGA,CRT,RJ,desenvolvimento,PETROBRAS,produtor comercial de oleo,,8/6/2007,9/4/2007,9/4/2007,2007,,0,0,,
297,-25.51170806,-42.8157125,9-BRSA-908D-RJS,9RJS686D,Santos,LULA,BM-S-11,RJ,desenvolvimento,PETROBRAS,produtor comercial de oleo,,1/8/2011,3/4/2011,6/28/2011,2011,,0,0,,
298,-22.49318889,-40.11167361,7-MRL-213HA-RJS,7MRL213HARJS,Campos,MARLIM,MRL,RJ,desenvolvimento,PETROBRAS,produtor comercial de oleo,,12/21/2011,2/4/2012,2/4/2012,2012,,0,0,,
299,-22.79762194,-40.76226333,7-PM-50HP-RJS,7PM50HPRJS,Campos,PAMPO,PM,RJ,desenvolvimento,PETROBRAS,produtor comercial de oleo,,9/13/2007,2/4/2008,2/15/2008,2008,,0,0,,
300,-21.96032556,-39.78094278,7-RO-77H-RJS,7RO77HRJS,Campos,RONCADOR,RO,RJ,desenvolvimento,PETROBRAS,produtor comercial de oleo,,6/17/2007,11/3/2007,12/18/2007,2007,,0,0,,
301,-25.18673917,-42.92039194,9-LL-2-RJS,9RJS681,Santos,LULA,BM-S-11,RJ,desenvolvimento,PETROBRAS,produtor comercial de oleo,,3/25/2011,10/3/2011,11/14/2011,2011,,0,0,,
302,-22.40232667,-39.95199944,7-MLL-49H-RJS,7MLL49HRJS,Campos,MARLIM LESTE,MLL,RJ,desenvolvimento,PETROBRAS,produtor comercial de oleo,,3/11/2010,5/3/2010,7/15/2010,2010,,0,0,,
303,-22.48888972,-39.9569225,7-MLL-58H-RJS,7MLL58HRJS,Campos,MARLIM LESTE,MLL,RJ,desenvolvimento,PETROBRAS,produtor comercial de oleo,,9/9/2009,12/2/2009,5/1/2010,2010,,0,0,,
304,-21.24470556,-40.03219722,7-JUB-9HP-ESS,7JUB9HPESS,Campos,JUBARTE,BC-60,Espirito Santo,desenvolvimento,PETROBRAS,produtor comercial de oleo,,7/31/2009,2/2/2010,4/18/2010,2010,,0,0,,
305,-22.40644611,-40.05808028,7-MRL-202H-RJS,7MRL202HRJS,Campos,MARLIM,MRL,RJ,desenvolvimento,PETROBRAS,produtor comercial de oleo,,10/22/2009,12/1/2009,12/20/2009,2009,,0,0,,
306,-22.09923278,-39.86526611,7-AB-95H-RJS,7AB95HRJS,Campos,ALBACORA,AB,RJ,desenvolvimento,PETROBRAS,produtor comercial de oleo,,8/23/2007,10/1/2007,11/5/2007,2007,,0,0,,
307,-22.64592444,-40.21672833,7-CRT-45HP-RJS,7CRT45HPRJS,Campos,CARATINGA,CRT,RJ,desenvolvimento,PETROBRAS,produtor comercial de oleo,,6/10/2008,7/1/2008,7/1/2008,2008,,0,0,,
308,-21.96153056,-39.73623056,7-RO-107HP-RJS,7RO107HPRJS,Campos,RONCADOR,,RJ,desenvolvimento,PETROBRAS,produtor comercial de oleo,,5/20/2011,4/1/2012,5/8/2012,2012,,0,0,,
309,-22.54808139,-40.37924028,3-BRSA-503-RJS,3CG7RJS,Campos,CONGRO,CG,RJ,exploratorio,PETROBRAS,produtor comercial de oleo,,6/5/2007,,7/14/2007,2007,,0,0,,
310,-22.10257083,-39.85959444,7-ABL-76HP-RJS,7ABL76HPRJS,Campos,ALBACORA LESTE,ABL,RJ,desenvolvimento,PETROBRAS,produtor comercial de oleo,,2/13/2009,,2/28/2009,2009,,0,0,,
311,-22.87579111,-40.34587444,7-ESP-38HP-RJS,7ESP38HPRJS,Campos,ESPADARTE,ESP,RJ,desenvolvimento,PETROBRAS,produtor comercial de oleo,,2/5/2007,,4/1/2007,2007,,0,0,,
312,-22.84964472,-40.33699306,7-ESP-40HP-RJS,7ESP40HPRJS,Campos,ESPADARTE,ESP,RJ,desenvolvimento,PETROBRAS,produtor comercial de oleo,,3/18/2007,,5/23/2007,2007,,0,0,,
313,-22.38738583,-40.07342861,7-MRL-183HP-RJS,7MRL183HPRJS,Campos,MARLIM,MRL,RJ,desenvolvimento,PETROBRAS,produtor comercial de oleo,,1/4/2007,,2/18/2007,2007,,0,0,,
314,-22.38100139,-40.086665,7-MRL-185HPA-RJS,7MRL185HPARJS,Campos,MARLIM,MRL,RJ,desenvolvimento,PETROBRAS,produtor comercial de oleo,,3/20/2007,,5/21/2007,2007,,0,0,,
315,-22.36060417,-40.06814389,7-MRL-187HPA-RJS,7MRL187HPARJS,Campos,MARLIM,MRL,RJ,desenvolvimento,PETROBRAS,produtor comercial de oleo,,6/27/2007,,7/18/2007,2007,,0,0,,
316,-22.40503139,-40.050075,7-MRL-188HA-RJS,7MRL188HARJS,Campos,MARLIM,MRL,RJ,desenvolvimento,PETROBRAS,produtor comercial de oleo,,8/13/2007,,9/13/2007,2007,,0,0,,
317,-21.96731528,-39.77467972,7-RO-109HP-RJS,7RO109HPRJS,Campos,RONCADOR,,RJ,desenvolvimento,PETROBRAS,produtor comercial de oleo,,9/11/2011,,,0,,0,0,,
318,-21.97838083,-39.76914139,7-RO-111HP-RJS,7RO111HPRJS,Campos,RONCADOR,,RJ,desenvolvimento,PETROBRAS,produtor comercial de oleo,,8/3/2011,,,0,,0,0,,
319,-21.95098611,-39.76603083,7-RO-121HP-RJS,7RO121HPRJS,Campos,RONCADOR,,RJ,desenvolvimento,PETROBRAS,produtor comercial de oleo,,6/13/2012,,,0,,0,0,,
320,-21.94144944,-39.70326833,7-RO-66D-RJS,7RO66DRJS,Campos,RONCADOR,RO,RJ,desenvolvimento,PETROBRAS,produtor comercial de oleo,,1/11/2007,,5/20/2007,2007,,0,0,,
321,-21.98667556,-39.76593806,7-RO-74HP-RJS,7RO74HPRJS,Campos,RONCADOR,RO,RJ,desenvolvimento,PETROBRAS,produtor comercial de oleo,,2/14/2007,,10/19/2007,2007,,0,0,,
322,-21.87875611,-39.77558972,7-RO-75HP-RJS,7RO75HPRJS,Campos,RONCADOR,RO,RJ,desenvolvimento,PETROBRAS,produtor comercial de oleo,,4/27/2007,,7/11/2007,2007,,0,0,,
323,-21.97322472,-39.80199139,8-RO-68HP-RJS,8RO68HPRJS,Campos,RONCADOR,RO,RJ,desenvolvimento,PETROBRAS,produtor comercial de oleo,,8/13/2006,,4/26/2007,2007,,0,0,,
324,-21.98667556,-39.76593806,9-RO-73D-RJS,9RO73DRJS,Campos,RONCADOR,RO,RJ,desenvolvimento,PETROBRAS,produtor comercial de oleo,,1/15/2007,,2/14/2007,2007,,0,0,,
325,-19.57611444,-39.24720694,6-BRSA-475-ESS,6PER3ESS,Espirito Santo,PEROA,PER,Espirito Santo,exploratorio,PETROBRAS,produtor comercial de gas e condensado,,1/19/2007,5/22/2007,1/27/2008,2008,,0,0,,
326,-19.90006556,-39.61888139,7-CMN-1H-ESS,7CMN1HESS,Espirito Santo,CAMARUPIM NORTE,BM-ES-5,Espirito Santo,desenvolvimento,PETROBRAS,produtor comercial de gas,,12/10/2008,1/31/2009,12/2/2009,2009,,0,0,,
327,-19.88213333,-39.61398611,7-CMN-2H-ESS,7CMN2HESS,Espirito Santo,CAMARUPIM NORTE,BM-ES-5,Espirito Santo,desenvolvimento,PETROBRAS,produtor comercial de gas,,3/5/2009,4/30/2009,7/7/2009,2009,,0,0,,
328,-24.17132861,-42.69994361,9-TBU-2HA-RJS,9TBU2HARJS,Santos,TAMBAU,BS-500,RJ,desenvolvimento,PETROBRAS,produtor comercial de gas,,8/16/2007,8/29/2007,10/12/2007,2007,,0,0,,
329,-22.07794944,-39.92502333,3-BRSA-476-RJS,3AB92RJS,Campos,ALBACORA,AB,RJ,exploratorio,PETROBRAS,produtor comercial de gas,,2/6/2007,2/28/2007,3/5/2007,2007,,0,0,,
330,-21.97483778,-39.78957583,7-RO-83H-RJS,7RO83HRJS,Campos,RONCADOR,RO,RJ,desenvolvimento,PETROBRAS,produtor comercial de gas,,3/17/2008,4/26/2008,4/26/2008,2008,,0,0,,
331,-21.9599725,-39.77724278,7-RO-84-RJS,7RO84RJS,Campos,RONCADOR,RO,RJ,desenvolvimento,PETROBRAS,produtor comercial de gas,,3/2/2008,3/25/2008,4/4/2008,2008,,0,0,,
332,-24.49768889,-44.20441111,7-MXL-9HP-SPS,7MXL9HPSPS,Santos,MEXILHAO,BS-400,SP,desenvolvimento,PETROBRAS,produtor comercial de gas,,1/31/2009,2/23/2009,3/8/2009,2009,,0,0,,
333,-24.48485667,-44.19545833,7-MXL-11HP-SPS,7MXL11HPSPS,Santos,MEXILHAO,BS-400,SP,desenvolvimento,PETROBRAS,produtor comercial de gas,,10/30/2009,11/21/2009,12/4/2009,2009,,0,0,,
334,-19.55293083,-39.36791333,7-CAN-1D-ESS,7CAN1DESS,Espirito Santo,CANGOA,CAN,Espirito Santo,desenvolvimento,PETROBRAS,produtor comercial de gas,,6/10/2008,7/21/2008,11/29/2008,2008,,0,0,,
335,-19.930475,-39.62338528,7-CMR-1H-ESS,7CMR1HESS,Espirito Santo,CAMARUPIM,BES-100,Espirito Santo,desenvolvimento,PETROBRAS,produtor comercial de gas,,5/2/2008,6/21/2008,11/16/2008,2008,,0,0,,
336,-22.71513083,-40.69277361,7-EN-55-RJS,7EN55RJS,Campos,ENCHOVA,EN,RJ,desenvolvimento,PETROBRAS,produtor comercial de gas,,3/4/2008,3/21/2008,4/22/2008,2008,,0,0,,
337,-25.24842861,-45.201175,7-LAG-1HA-SPS,7LAG1HASPS,Santos,LAGOSTA,BS-1,SP,desenvolvimento,PETROBRAS,produtor comercial de gas,,4/23/2008,8/19/2008,1/20/2009,2009,,0,0,,
338,-19.55244083,-39.25207056,7-PER-2-ESS,7PER2ESS,Espirito Santo,PEROA,PER,Espirito Santo,desenvolvimento,PETROBRAS,produtor comercial de gas,,12/5/2007,1/19/2008,3/17/2008,2008,,0,0,,
339,-19.90805972,-39.61709722,6-BRSA-486-ESS,6ESS168,Espirito Santo,,BM-ES-5,Espirito Santo,exploratorio,PETROBRAS,produtor comercial de gas,,3/21/2007,9/18/2007,9/18/2007,2007,,0,0,,
340,-19.86832861,-39.62191917,7-CMN-4HPA-ESS,7CMN4HPAESS,Espirito Santo,CAMARUPIM NORTE,BM-ES-5,Espirito Santo,desenvolvimento,PETROBRAS,produtor comercial de gas,,2/1/2009,2/14/2009,5/8/2009,2009,,0,0,,
341,-24.48446639,-44.20797139,7-MXL-5HP-SPS,7MXL5HPSPS,Santos,MEXILHAO,BS-400,SP,desenvolvimento,PETROBRAS,produtor comercial de gas,,10/28/2008,11/12/2008,12/11/2008,2008,,0,0,,
342,-24.31886111,-42.66536111,7-URG-4-RJS,7URG4RJS,Santos,URUGUA,BS-500,RJ,desenvolvimento,PETROBRAS,produtor comercial de gas,,12/30/2008,1/11/2009,3/4/2009,2009,,0,0,,
343,-27.10873556,-46.56677833,1-BRSA-617-SCS,1SCS13,Santos,,BM-S-12,SC,exploratorio,PETROBRAS,produtor comercial de gas,,5/20/2008,10/8/2008,10/13/2008,2008,,0,0,,
344,-24.16764417,-42.69246056,7-TBU-7HP-RJS,7TBU7HPRJS,Santos,TAMBAU,,RJ,desenvolvimento,PETROBRAS,produtor comercial de gas,,6/4/2011,9/8/2011,11/22/2011,2011,,0,0,,
345,-19.58510361,-39.24215778,7-PER-1-ESS,7PER1ESS,Espirito Santo,PEROA,PER,Espirito Santo,desenvolvimento,PETROBRAS,produtor comercial de gas,,6/16/2007,8/8/2007,11/21/2007,2007,,0,0,,
346,-22.07772139,-39.88713889,7-AB-100-RJS,7AB100RJS,Campos,ALBACORA,AB,RJ,desenvolvimento,PETROBRAS,produtor comercial de gas,,6/13/2008,7/3/2008,8/28/2008,2008,,0,0,,
347,-20.10681722,-39.2039025,1-BRSA-789-ESS,1ESS191,Espirito Santo,,ES-M-525,Espirito Santo,exploratorio,PETROBRAS,portador de oleo e gas,,12/7/2009,3/28/2010,4/25/2010,2010,,0,0,,
348,-20.037165,-39.25274972,1-BRSA-683-ESS,1ESS180,Espirito Santo,,ES-M-523,Espirito Santo,exploratorio,PETROBRAS,portador de oleo e gas,,11/26/2008,9/18/2009,10/4/2009,2009,,0,0,,
349,-20.16232389,-39.08767278,1-BRSA-936D-ESS,1ESS200D,Espirito Santo,,ES-M-525,Espirito Santo,exploratorio,PETROBRAS,portador de oleo e gas,,4/15/2011,7/17/2011,8/14/2011,2011,,0,0,,
350,-19.86331528,-39.55617667,1-BRSA-819A-ESS,1ESS184A,Espirito Santo,,BM-ES-5,Espirito Santo,exploratorio,PETROBRAS,portador de oleo e gas,,4/11/2010,6/17/2010,7/16/2010,2010,,0,0,,
351,-20.23626889,-39.31071194,1-BRSA-954A-ESS,1ESS202A,Espirito Santo,,ES-M-523,Espirito Santo,exploratorio,PETROBRAS,portador de oleo e gas,,7/28/2011,3/15/2012,5/20/2012,2012,,0,0,,
352,-20.10085861,-39.17194139,1-BRSA-939-ESS,1ESS199,Espirito Santo,,ES-M-525,Espirito Santo,exploratorio,PETROBRAS,portador de oleo e gas,,4/30/2011,7/5/2011,7/15/2011,2011,,0,0,,
353,-22.6999925,-40.71340639,3-BRSA-524-RJS,3ENO11RJS,Campos,ENCHOVA OESTE,ENO,RJ,exploratorio,PETROBRAS,portador de oleo e gas,,9/12/2007,10/4/2007,10/17/2007,2007,,0,0,,
354,-21.64384,-39.541355,1-BRSA-458-ESS,1ESS159,Campos,,BM-C-4,Espirito Santo,exploratorio,PETROBRAS,portador de oleo e gas,,10/24/2006,,2/21/2007,2007,,0,0,,
355,-20.02165361,-39.54811222,6-BRSA-505P-ESS,6GLF20PESS,Espirito Santo,GOLFINHO,BES-100,Espirito Santo,exploratorio,PETROBRAS,portador de oleo,,6/14/2007,7/31/2007,8/17/2007,2007,,0,0,,
356,-22.89614861,-40.30104917,1-BRSA-553-RJS,1RJS651,Campos,,C-M-403,RJ,exploratorio,PETROBRAS,portador de oleo,,11/26/2007,2/29/2008,3/22/2008,2008,,0,0,,
357,-22.21369222,-40.11449722,6-BRSA-721-RJS,6MO3RJS,Campos,MOREIA,MO,RJ,exploratorio,PETROBRAS,portador de oleo,,3/21/2009,7/28/2009,9/5/2009,2009,,0,0,,
358,-24.34240611,-42.41159472,3-BRSA-981-RJS,3TMB1RJS,Santos,TAMBUATA,,RJ,exploratorio,PETROBRAS,portador de oleo,,9/5/2011,9/27/2011,10/15/2011,2011,,0,0,,
359,-22.69827583,-40.28187944,3-BRSA-988-RJS,3CRT47RJS,Campos,CARATINGA,,RJ,exploratorio,PETROBRAS,portador de oleo,,10/1/2011,10/26/2011,12/7/2011,2011,,0,0,,
360,-22.36003972,-40.20337528,6-BRSA-990-RJS,6VL10RJS,Campos,VIOLA,,RJ,exploratorio,PETROBRAS,portador de oleo,,10/3/2011,2/26/2012,4/30/2012,2012,,0,0,,
361,-26.46091806,-46.548435,9-BRSA-974D-SPS,9SPS87D,Santos,BAUNA,,SP,desenvolvimento,PETROBRAS,portador de oleo,,8/18/2011,9/25/2011,10/7/2011,2011,,0,0,,
362,-20.35600833,-39.49590833,1-BRSA-682-ESS,1ESS186,Espirito Santo,,ES-M-590,Espirito Santo,exploratorio,PETROBRAS,portador de oleo,,11/22/2008,4/25/2009,5/13/2009,2009,,0,0,,
363,-22.61888278,-40.82566944,1-BRSA-797-RJS,1RJS667,Campos,,C-M-333,RJ,exploratorio,PETROBRAS,portador de oleo,,1/8/2010,2/24/2010,4/24/2010,2010,,0,0,,
364,-20.17617111,-39.57235583,4-BRSA-1003-ESS,4GLF32ESS,Espirito Santo,GOLFINHO,,Espirito Santo,exploratorio,PETROBRAS,portador de oleo,,10/28/2011,11/22/2011,12/7/2011,2011,,0,0,,
365,-25.38592028,-42.70497167,3-BRSA-755A-RJS,3RJS662A,Santos,LULA,BM-S-11,RJ,exploratorio,PETROBRAS,portador de oleo,,7/16/2009,10/22/2009,5/14/2010,2010,,0,0,,
366,-25.89165,-43.59632167,4-BRSA-973A-SPS,4SPS81A,Santos,,BM-S-9,SP,exploratorio,PETROBRAS,portador de oleo,,8/21/2011,11/21/2011,12/6/2011,2011,,0,0,,
367,-25.21290611,-43.39853139,4-BRSA-818-RJS,4RJS668,Santos,,BM-S-10,RJ,exploratorio,PETROBRAS,portador de oleo,,3/30/2010,1/21/2011,2/22/2011,2011,,0,0,,
368,-22.34658278,-40.10688528,4-BRSA-994-RJS,4VD18RJS,Campos,VOADOR,,RJ,exploratorio,PETROBRAS,portador de oleo,,10/9/2011,11/20/2011,12/4/2011,2011,,0,0,,
369,-22.69396806,-40.28853667,3-BRSA-1052-RJS,3CRT48RJS,Campos,CARATINGA,,RJ,exploratorio,PETROBRAS,portador de oleo,,2/22/2012,3/19/2012,4/4/2012,2012,,0,0,,
370,-25.37829417,-42.7773175,3-BRSA-795-RJS,3RJS666,Santos,LULA,BM-S-11,RJ,exploratorio,PETROBRAS,portador de oleo,,1/3/2010,3/19/2010,4/11/2010,2010,,0,0,,
371,-20.50502056,-39.80962861,1-BRSA-1071-ESS,1ESS209,Espirito Santo,,ES-M-661,Espirito Santo,exploratorio,PETROBRAS,portador de oleo,,4/23/2012,5/18/2012,6/8/2012,2012,,0,0,,
372,-26.44678778,-46.49872639,4-BRSA-1002-SPS,4SPS91,Santos,PIRACABA,S-M-1289,SP,exploratorio,PETROBRAS,portador de oleo,,10/25/2011,11/16/2011,12/1/2011,2011,,0,0,,
373,-19.60084972,-39.33131972,1-BRSA-848D-ESS,1ESS198D,Espirito Santo,,ES-M-413,Espirito Santo,exploratorio,PETROBRAS,portador de oleo,,7/7/2010,10/16/2010,11/24/2010,2010,,0,0,,
374,-24.98565139,-42.71309139,3-BRSA-1032-RJS,3RJS697,Santos,PA-1BRSA618RJS-BM-S-11,BM-S-11,RJ,exploratorio,PETROBRAS,portador de oleo,,12/29/2011,3/14/2012,4/24/2012,2012,,0,0,,
375,-23.80289444,-41.51813889,1-BRSA-905A-RJS,1RJS685A,Santos,,S-M-172,RJ,exploratorio,PETROBRAS,portador de oleo,,1/12/2011,1/14/2011,1/22/2011,2011,,0,0,,
376,-22.95305806,-40.69673694,1-BRSA-713-RJS,1RJS661,Campos,,C-M-401,RJ,exploratorio,PETROBRAS,portador de oleo,,2/26/2009,6/13/2009,6/13/2009,2009,,0,0,,
377,-26.46849389,-46.55986028,9-BRSA-999-SPS,9SPS88,Santos,BAUNA,S-M-1288,SP,desenvolvimento,PETROBRAS,portador de oleo,,10/13/2011,11/11/2011,11/22/2011,2011,,0,0,,
378,-20.09264667,-39.48644917,3-BRSA-760-ESS,3GLF26ESS,Espirito Santo,GOLFINHO,BES-100,Espirito Santo,exploratorio,PETROBRAS,portador de oleo,,8/3/2009,10/11/2009,10/18/2009,2009,,0,0,,
379,-24.43230444,-43.11256139,1-BRSA-597-RJS,1RJS655,Santos,,S-M-322,RJ,exploratorio,PETROBRAS,portador de oleo,,3/27/2008,10/11/2008,11/28/2008,2008,,0,0,,
380,-21.76286028,-40.33050333,1-BRSA-921-RJS,1RJS684,Campos,,C-M-146,RJ,exploratorio,PETROBRAS,portador de oleo,,2/14/2011,6/10/2011,7/2/2011,2011,,0,0,,
381,-21.08627333,-40.09777056,1-BRSA-724-ESS,1ESS188,Campos,,BM-C-25,Espirito Santo,exploratorio,PETROBRAS,portador de oleo,,4/17/2009,5/10/2009,5/21/2009,2009,,0,0,,
382,-21.19639722,-39.95014639,6-BRSA-497-ESS,6CHT4ESS,Campos,CACHALOTE,BC-60,Espirito Santo,exploratorio,PETROBRAS,portador de oleo,,5/14/2007,9/9/2007,10/8/2007,2007,,0,0,,
383,-25.85783889,-43.21854778,3-BRSA-923A-SPS,3SPS82A,Santos,SAPINHOA,BM-S-9,SP,exploratorio,PETROBRAS,portador de oleo,,2/20/2011,7/9/2011,8/9/2011,2011,,0,0,,
384,-20.21585056,-38.97475639,1-BRSA-906-ESS,1ESS197,Espirito Santo,,ES-M-527,Espirito Santo,exploratorio,PETROBRAS,portador de oleo,,1/8/2011,6/9/2011,6/24/2011,2011,,0,0,,
385,-22.62580889,-40.19677333,3-BRSA-1020-RJS,3BR74RJS,Campos,BARRACUDA,BR,RJ,exploratorio,PETROBRAS,portador de oleo,,12/6/2011,3/8/2012,5/21/2012,2012,,0,0,,
386,-21.009765,-40.0619525,1-BRSA-958-ESS,1ESS207,Campos,,BM-C-25,Espirito Santo,exploratorio,PETROBRAS,portador de oleo,,7/11/2011,9/7/2011,9/24/2011,2011,,0,0,,
387,-22.41264722,-40.62450278,1-BRSA-761-RJS,1RJS663,Campos,,C-M-299,RJ,exploratorio,PETROBRAS,portador de oleo,,8/13/2009,10/6/2009,10/6/2009,2009,,0,0,,
388,-22.85844694,-40.56290083,1-BRSA-600-RJS,1RJS654,Campos,,C-M-401,RJ,exploratorio,PETROBRAS,portador de oleo,,4/1/2008,6/6/2008,6/10/2008,2008,,0,0,,
389,-25.54122611,-43.49170528,3-BRSA-1023-SPS,3SPS85,Santos,PA-1BRSA491SPS-BM-S-9,BM-S-9,SP,exploratorio,PETROBRAS,portador de oleo,,12/15/2011,2/6/2012,2/26/2012,2012,,0,0,,
390,-26.48590472,-46.556795,9-BRSA-1016-SPS,9SPS89,Santos,BAUNA,S-M-1288,SP,desenvolvimento,PETROBRAS,portador de oleo,,11/30/2011,1/5/2012,1/5/2012,2012,,0,0,,
391,-25.59812861,-45.5164325,4-BRSA-708-SPS,4SPS65,Santos,GUAIAMA,BM-S-3,SP,exploratorio,PETROBRAS,portador de oleo,,1/25/2009,5/3/2009,6/26/2009,2009,,0,0,,
392,-25.68959278,-43.15021722,9-BRSA-1037-SPS,9SPS95,Santos,SAPINHOA,BM-S-9,SP,desenvolvimento,PETROBRAS,portador de oleo,,1/12/2012,4/3/2012,5/22/2012,2012,,0,0,,
393,-22.75422417,-40.37587028,6-BRSA-952-RJS,6ESP50RJS,Campos,ESPADARTE,,RJ,exploratorio,PETROBRAS,portador de oleo,,6/14/2011,9/2/2011,9/2/2011,2011,,0,0,,
394,-25.87165889,-45.92184111,9-BRSA-741-SPS,9PRC1SPS,Santos,PIRACUCA,BM-S-7,SP,desenvolvimento,PETROBRAS,portador de oleo,,6/10/2009,9/2/2009,10/24/2009,2009,,0,0,,
