FID,LATITUDE,LONGITUDE,POCO,POCO_OPERA,BACIA,CAMPO,BLOCO,UF,TIPO,OPERADORA,RESULTADO,Acidente_mecanico,INICIO,TERMINO,CONCLUSAO,Concl_ano,platafor,ano_fabric,ID,Plataforma_nome,Lata_Velha
986,-23.53119778,-41.37886694,3-OGX-83D-RJS,3OGXTUPUNGATO1DRJS,Campos,,C-M-592,RJ,exploratorio,OGX,,,5/22/2012,6/15/2012,7/3/2012,2012,,0,0,,
987,-23.51761194,-41.41438278,3-OGX-90D-RJS,3OGXFUJI3DRJS,Campos,,C-M-592,RJ,exploratorio,OGX,,,7/16/2012,8/13/2012,8/21/2012,2012,,0,0,,
988,-23.14186389,-41.05800528,3-OGX-84-RJS,3OGXINGA4RJS,Campos,,C-M-499,RJ,exploratorio,OGX,,,5/31/2012,6/12/2012,6/18/2012,2012,,0,0,,
989,-24.28540222,-44.19433944,3-OGX-89D-SPS,3OGXNATAL2DSPS,Santos,,S-M-314,SP,exploratorio,OGX,,,7/3/2012,8/9/2012,8/26/2012,2012,,0,0,,
990,-23.49582472,-41.44761472,3-OGX-72-RJS,3OGXPIPELINE7RJS,Campos,,C-M-592,RJ,exploratorio,OGX,,,1/19/2012,2/4/2012,3/5/2012,2012,,0,0,,
991,-23.55949028,-41.43035722,7-TBAZ-1HP-RJS,7TBAZ1HPRJS,Campos,TUBARAO AZUL,C-M-592,RJ,desenvolvimento,OGX,,,8/24/2012,,,0,,0,0,,
992,-23.12329583,-41.09680111,7-TBMT-2HP-RJS,7TBMT2HPRJS,Campos,TUBARAO MARTELO,C-M-466,RJ,desenvolvimento,OGX,,,9/4/2012,,,0,,0,0,,
993,-23.10799111,-41.08648389,7-TBMT-4HP-RJS,7TBMT4HPRJS,Campos,TUBARAO MARTELO,C-M-466,RJ,desenvolvimento,OGX,,,9/6/2012,,,0,,0,0,,
994,-23.11269611,-41.07409028,7-TBMT-6HP-RJS,7TBMT6HPRJS,Campos,TUBARAO MARTELO,C-M-466,RJ,desenvolvimento,OGX,,,9/26/2012,,,0,,0,0,,
995,-23.12329583,-41.09680111,9-TBMT-1D-RJS,9TBMT1DRJS,Campos,TUBARAO MARTELO,C-M-466,RJ,desenvolvimento,OGX,,,8/7/2012,,,0,,0,0,,
996,-23.10799111,-41.08648389,9-TBMT-3D-RJS,9TBMT3DRJS,Campos,TUBARAO MARTELO,C-M-466,RJ,desenvolvimento,OGX,,,8/13/2012,,,0,,0,0,,
997,-23.11269611,-41.07409028,9-TBMT-5D-RJS,9TBMT5DRJS,Campos,TUBARAO MARTELO,C-M-466,RJ,desenvolvimento,OGX,,,8/28/2012,,,0,,0,0,,
998,-24.15061778,-44.1087225,1-OGX-94DA-RJS,1OGXCURITIBADARJS,Santos,,S-M-270,RJ,exploratorio,OGX,,,9/9/2012,,,0,,0,0,,
